customer_name,cloud_account_number,product_name,usage_type,price_book,seller_cost_usd,customer_cost_usd,margin_usd,usage_quantity,fecha
Sourcing SPA (Andres Yelpi),872780047379,AWS Data Transfer,USE1-APN1-AWS-Out-Bytes (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Simple Storage Service,SAE1-Requests-Tier1 (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Elastic Compute Cloud,BoxUsage:t3.large (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Virtual Private Cloud,USW2-PublicIPv4:InUseAddress (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,AWS Data Transfer,USE1-USE2-AWS-Out-Bytes (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Amazon Relational Database Service,Aurora:StorageUsage (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Amazon Relational Database Service,USE1:PI_LTR_FMR:Provisioned (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Amazon Relational Database Service,RDS:GP3-Storage (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Elastic Load Balancing,LCUUsage (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,AWS Data Transfer,USE2-USE1-AWS-Out-Bytes (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),872780047379,AWS Data Transfer,USE1-APN2-AWS-Out-Bytes (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),872780047379,AWS Data Transfer,USE1-APS3-AWS-Out-Bytes (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Amazon Elastic Compute Cloud,USE2-BoxUsage:t2.micro (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),536079618115,Amazon Elastic Compute Cloud,BoxUsage:t3.large (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Amazon Simple Storage Service,Requests-Tier1 (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Relational Database Service,ExtendedSupport:Yr1-Yr2:MySQL5.7 (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),435812277030,Amazon Elastic Compute Cloud,BoxUsage:t2.micro (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Amazon Simple Storage Service,Requests-Tier2 (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,AWS Security Hub,USE1-PaidComplianceCheck (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,AWS Config,ConfigurationItemRecorded (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Amazon Elastic Compute Cloud,HeavyUsage:t3.medium (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),536079618115,Amazon Relational Database Service,InstanceUsage:db.t3.micro (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Amazon Virtual Private Cloud,USE1-PublicIPv4:InUseAddress (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),872780047379,AWS Data Transfer,USE1-USW2-AWS-Out-Bytes (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Elastic Load Balancing,LoadBalancerUsage (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Relational Database Service,RDS:GP2-Storage (tax),AWS Price Book,0.0,0.0,0.0,2.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Amazon Elastic Compute Cloud,BoxUsage:t3.small (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),435812277030,Amazon Simple Storage Service,Requests-Tier2 (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,AWS Data Transfer,USE2-DataTransfer-Regional-Bytes (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,AWS Global Accelerator,NA-NA-IN-Bytes-Internet (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,AWS Global Accelerator,Global-Accelerator-fixed-fee (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),872780047379,AWS Data Transfer,USE1-EUW2-AWS-Out-Bytes (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Relational Database Service,InstanceUsage:db.t3.micro (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,AWS Global Accelerator,NA-EU-OUT-Bytes-Internet (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Amazon Relational Database Service,Aurora:StorageIOUsage (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Amazon Virtual Private Cloud,USE2-PublicIPv4:InUseAddress (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),435812277030,Elastic Load Balancing,LoadBalancerUsage (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Amazon Elastic Compute Cloud,BoxUsage:t3.large (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,AWS Global Accelerator,NA-SA-OUT-Bytes-Internet (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),536079618115,Amazon Relational Database Service,RDS:GP3-Storage (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),872780047379,AWS Security Hub,USE1-PaidComplianceCheck (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,AWS Data Transfer,USE1-USW1-AWS-Out-Bytes (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),435812277030,Amazon Elastic Compute Cloud,BoxUsage:t3.medium (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Amazon Elastic Compute Cloud,BoxUsage:t3.medium (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,AWS Global Accelerator,Global-Accelerator-fixed-fee (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),536079618115,Amazon Virtual Private Cloud,USE1-PublicIPv4:InUseAddress (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Route 53,HostedZone (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Elastic Compute Cloud,EBS:VolumeIOUsage (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Amazon Elastic Compute Cloud,BoxUsage:t3a.xlarge (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),872780047379,Amazon Simple Storage Service,Requests-Tier1 (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Amazon Elastic Compute Cloud,BoxUsage:t3.medium (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),435812277030,Amazon Elastic Compute Cloud,NatGateway-Hours (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Amazon Relational Database Service,InstanceUsage:db.m5.large (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Amazon Relational Database Service,InstanceUsage:db.r5.large (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),435812277030,Elastic Load Balancing,LCUUsage (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
