customer_name,cloud_account_number,product_name,Costo Antes de Ayer,Costo Ayer,Diferencia USD
Sourcing SPA (Andres Yelpi),18185109271,Amazon Relational Database Service,451.71,543.4,91.69
Sourcing SPA (Andres Yelpi),767398103037,Amazon Relational Database Service,315.3,380.85,65.55
Sourcing SPA (Andres Yelpi),18185109271,Amazon Simple Storage Service,161.52,202.48,40.96
Sourcing SPA (Andres Yelpi),435812277030,Amazon Elastic Compute Cloud,187.9,225.62,37.72
Sourcing SPA (Andres Yelpi),303559958125,Amazon Elastic Compute Cloud,152.64,183.64,31.0
Sourcing SPA (Andres Yelpi),767398103037,Amazon Elastic Compute Cloud,141.27,169.06,27.79
Sourcing SPA (Andres Yelpi),622323056157,Amazon Elastic Compute Cloud,134.35,161.51,27.16
Sourcing SPA (Andres Yelpi),622323056157,Amazon Simple Storage Service,119.84,145.5,25.66
Sourcing SPA (Andres Yelpi),18185109271,Amazon Elastic Compute Cloud,141.51,165.67,24.16
Sourcing SPA (Andres Yelpi),622323056157,Amazon Relational Database Service,111.56,134.22,22.66
Sourcing SPA (Andres Yelpi),18185109271,AmazonCloudWatch,100.47,121.41,20.94
Sourcing SPA (Andres Yelpi),536079618115,Amazon Elastic Compute Cloud,65.26,78.41,13.15
Sourcing SPA (Andres Yelpi),18185109271,Amazon Virtual Private Cloud,63.1,75.92,12.82
Sourcing SPA (Andres Yelpi),622323056157,AWS Support (Business),38.82,47.1,8.28
Sourcing SPA (Andres Yelpi),767398103037,Amazon Virtual Private Cloud,35.4,42.77,7.37
Sourcing SPA (Andres Yelpi),622323056157,AWS Global Accelerator,29.06,34.92,5.86
Sourcing SPA (Andres Yelpi),622323056157,Amazon Virtual Private Cloud,26.73,32.15,5.42
Sourcing SPA (Andres Yelpi),767398103037,Elastic Load Balancing,26.03,31.28,5.25
Sourcing SPA (Andres Yelpi),435812277030,Amazon Virtual Private Cloud,15.24,18.35,3.11
Sourcing SPA (Andres Yelpi),18185109271,AWS Config,13.68,16.48,2.8
Sourcing SPA (Andres Yelpi),536079618115,Amazon Relational Database Service,13.95,16.69,2.74
Sourcing SPA (Andres Yelpi),767398103037,AWS WAF,11.74,14.11,2.37
Sourcing SPA (Andres Yelpi),18185109271,AWS Global Accelerator,9.58,11.52,1.94
Sourcing SPA (Andres Yelpi),18185109271,Elastic Load Balancing,9.15,10.95,1.8
Sourcing SPA (Andres Yelpi),303559958125,Elastic Load Balancing,8.64,10.39,1.75
Sourcing SPA (Andres Yelpi),435812277030,Elastic Load Balancing,8.62,10.37,1.75
Sourcing SPA (Andres Yelpi),303559958125,Amazon Virtual Private Cloud,7.61,9.16,1.55
Sourcing SPA (Andres Yelpi),536079618115,Amazon Virtual Private Cloud,5.73,6.9,1.17
Sourcing SPA (Andres Yelpi),18185109271,AWS Security Hub,5.74,6.9,1.16
Sourcing SPA (Andres Yelpi),435812277030,AWS Security Hub,2.46,2.92,0.46
Sourcing SPA (Andres Yelpi),303559958125,AWS Security Hub,2.1,2.49,0.39
Sourcing SPA (Andres Yelpi),622323056157,AmazonCloudWatch,1.05,1.28,0.23
Sourcing SPA (Andres Yelpi),18185109271,AWS Key Management Service,1.07,1.3,0.23
Sourcing SPA (Andres Yelpi),393937990371,AWS Security Hub,0.94,1.15,0.21
Sourcing SPA (Andres Yelpi),872780047379,AWS Security Hub,1.1,1.31,0.21
Sourcing SPA (Andres Yelpi),872780047379,Amazon Simple Storage Service,0.84,1.02,0.18
Sourcing SPA (Andres Yelpi),303559958125,AmazonCloudWatch,0.45,0.55,0.1
Sourcing SPA (Andres Yelpi),622323056157,AWS Security Hub,0.51,0.61,0.1
Sourcing SPA (Andres Yelpi),393937990371,AWS Config,0.06,0.13,0.07
Sourcing SPA (Andres Yelpi),435812277030,Amazon Relational Database Service,0.31,0.37,0.06
Sourcing SPA (Andres Yelpi),435812277030,AWS Secrets Manager,0.21,0.26,0.05
Sourcing SPA (Andres Yelpi),18185109271,AWS Secrets Manager,0.21,0.26,0.05
Sourcing SPA (Andres Yelpi),435812277030,AWS Config,0.1,0.13,0.03
Sourcing SPA (Andres Yelpi),872780047379,AWS Config,0.08,0.1,0.02
Sourcing SPA (Andres Yelpi),303559958125,AWS Config,0.12,0.14,0.02
Sourcing SPA (Andres Yelpi),536079618115,AWS Security Hub,0.06,0.08,0.02
Sourcing SPA (Andres Yelpi),767398103037,AWS Security Hub,0.06,0.08,0.02
Sourcing SPA (Andres Yelpi),435812277030,AWS Key Management Service,0.0,0.01,0.01
Sourcing SPA (Andres Yelpi),435812277030,Amazon Simple Storage Service,0.03,0.04,0.01
Sourcing SPA (Andres Yelpi),622323056157,Amazon Route 53,1.03,1.04,0.01
Elecnor Chile S.A (Cristian Fuentealba),980921712811,Amazon Elastic Compute Cloud,69.82,69.82,0.0
