Customer Name,Cloud Account Number,Product Name,Usage Type,Price Book,Seller Cost (USD),Customer Cost (USD),Margin (USD),Usage Quantity
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Elastic Compute Cloud","USE2-DataTransfer-xAZ-In-Bytes","AWS Price Book",0,0,0,0.040966004
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Elastic Compute Cloud","USE2-DataTransfer-In-Bytes","AWS Price Book",0,0,0,0.62657756
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Relational Database Service","USE2-InstanceUsage:db.r6g.large","AWS Price Book",75.15560000000025,77.4800000000001,2.324399999999855,298
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Elastic Compute Cloud","USE2-APS1-AWS-In-Bytes","AWS Price Book",0,0,0,0.0000404779
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Elastic Compute Cloud","USE2-EUW2-AWS-In-Bytes","AWS Price Book",0,0,0,0.000035376
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Elastic Compute Cloud","USE2-USE1-AWS-In-Bytes","AWS Price Book",0,0,0,0.0016173028
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Elastic Load Balancing","USE2-USE1-AWS-In-Bytes","AWS Price Book",0,0,0,0.0001297845
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Elastic Compute Cloud","USE2-DataTransfer-xAZ-Out-Bytes","AWS Price Book",0,0,0,0.035009928
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Relational Database Service","USE2-DataTransfer-In-Bytes","AWS Price Book",0,0,0,0.004632383
"Auna (Jaime Pradenas)","912689407188","Amazon Simple Storage Service","Requests-Tier1","AWS Price Book",0.0003249499999999999,0.0003350000000000005,0.000010050000000000597,67
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Virtual Private Cloud","USE2-PublicIPv4:InUseAddress","AWS Price Book",8.706725388350032,8.976005555000004,0.26928016664997223,1795.2012
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Elastic Load Balancing","USE2-LCUUsage","AWS Price Book",0.0029328634866560032,0.0030235706047999993,0.00009070711814399609,0.37794632
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Elastic Load Balancing","USE2-USE1-AWS-Out-Bytes","AWS Price Book",0.00016019413423999998,0.0001651485920000001,0.000004954457760000119,0.01651486
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Elastic Load Balancing","USE2-LoadBalancerUsage","AWS Price Book",6.52567499999999,6.727499999999991,0.20182500000000125,299
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Elastic Compute Cloud","USE2-BoxUsage:t3.medium","AWS Price Book",24.13049599999983,24.876799999999907,0.7463040000000767,598
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Elastic Compute Cloud","USE2-NatGateway-Hours","AWS Price Book",13.05134999999998,13.454999999999982,0.4036500000000025,299
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Elastic Compute Cloud","USE2-EBS:VolumeUsage.gp3","AWS Price Book",3.1902222201804653,3.2888888867840285,0.09866666660356316,41.11111
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Relational Database Service","USE2-DataTransfer-Out-Bytes","AWS Price Book",0,0,0,0.004645761
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon EC2 Container Registry (ECR)","USE2-TimedStorage-ByteHrs","AWS Price Book",0.08332403129430031,0.08590106319000014,0.0025770318956998273,0.85901064
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Relational Database Service","USE2-Aurora:StorageIOUsage","AWS Price Book",1.2465016039999994,1.2850532000000001,0.03855159600000069,6425266
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Elastic Container Service for Kubernetes","USE2-AmazonEKS-Hours:perCluster","AWS Price Book",29.003000000000153,29.900000000000155,0.897000000000002,299
"Auna (Jaime Pradenas)","912689407188","Amazon Simple Queue Service","Requests-RBP","AWS Price Book",0.000002328,0.0000024,0.0000000719999999999999,6
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Elastic Load Balancing","USE2-USW2-AWS-In-Bytes","AWS Price Book",0,0,0,0.0005035707
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","AmazonCloudWatch","USE2-DataProcessing-Bytes","AWS Price Book",0.08350021463500001,0.08608269550000001,0.0025824808650000003,0.1721654
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Simple Storage Service","Requests-Tier2","AWS Price Book",0.000021728000000000016,0.000022399999999999982,0.0000006719999999999658,56
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Simple Storage Service","USE2-TimedStorage-ByteHrs","AWS Price Book",0.000026002327309999992,0.000026806522999999994,0.0000008041956900000026,0.001165501
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Elastic Compute Cloud","USE2-USW2-AWS-Out-Bytes","AWS Price Book",0.00000202624852,0.0000020889160000000005,0.00000006266748000000046,0.0001044458
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Elastic Compute Cloud","USE2-EUW2-AWS-Out-Bytes","AWS Price Book",0.0000006305970000000001,0.0000006501,0.00000001950299999999996,0.000032505
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Elastic Load Balancing","USE2-EUC1-AWS-Out-Bytes","AWS Price Book",0.000000023714560000000003,0.000000024448,0.0000000007334399999999987,0.0000012224
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Elastic Load Balancing","USE2-APS1-AWS-Out-Bytes","AWS Price Book",0.00000001330258,0.000000013714000000000001,0.00000000041142000000000105,0.0000006857
"Auna (Jaime Pradenas)","912689407188","Amazon Simple Storage Service","Requests-Tier2","AWS Price Book",0.000021340000000000016,0.000021999999999999982,0.0000006599999999999666,55
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Simple Storage Service","USE2-Requests-Tier1","AWS Price Book",0.0001067,0.00011,0.000003299999999999999,22
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Simple Storage Service","Global-Bucket-Hrs-FreeTier","AWS Price Book",0,0,0,0.033333335
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Relational Database Service","USE2-InstanceUsage:db.r6g.large (tax)","AWS Price Book",0,0,0,1
"Auna (Jaime Pradenas)","912689407188","AWS Secrets Manager","USE1-AWSSecretsManagerAPIRequest","AWS Price Book",0.0000291,0.00003,0.0000009000000000000015,6
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Elastic Compute Cloud","USE2-EU-AWS-Out-Bytes","AWS Price Book",0.00000154844786,0.0000015963379999999999,0.00000004789013999999981,0.0000798169
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","CloudWatch Events","USE2-DataTransfer-In-Bytes","AWS Price Book",0,0,0,0.0002724072
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Amazon Elastic Compute Cloud","USE2-EUC1-AWS-Out-Bytes","AWS Price Book",0.00000070638892,0.000000728236,0.00000002184708000000005,0.0000364118
"Elecnor Chile S.A (Cristian Fuentealba)","980921712811","Elastic Load Balancing","USE2-EUW2-AWS-In-Bytes","AWS Price Book",0,0,0,0.0000009984
