Day,Project Name,Project ID,Project Number,Servicio,Costo,Descuentos,Promociones y otros,Subtotal
2025-03-20,gtd-prj-prod-gcve-sistemas-001,gtd-prj-prod-gcve-sistemas-001,909532972476,VMware Engine,8.735832,0.000000,0.000000,8.735832
2025-03-20,gtd-prj-net-hub-001,gtd-prj-net-hub-001,477209047095,Compute Engine,1.511546,0.000000,0.000000,1.511546
2025-03-20,gtd-prj-prod-gcve-sistemas-001,gtd-prj-prod-gcve-sistemas-001,909532972476,Compute Engine,0.961566,0.000000,0.000000,0.961566
2025-03-20,Snowflake,datos-433017,964471574790,Cloud Composer,0.289480,0.000000,0.000000,0.289480
2025-03-20,gtd-prj-prod-bastion-sis-001,gtd-prj-prod-bastion-sis-001,926852352669,Compute Engine,0.170123,0.000000,0.000000,0.170123
2025-03-20,,,,Support,0.039180,0.000000,0.000000,0.039180
2025-03-20,Snowflake,datos-433017,964471574790,Cloud Monitoring,0.034948,0.000000,0.000000,0.034948
2025-03-20,gtd-mvp-contracts-genai,gtd-mvp-contracts-genai,723871874985,BigQuery,0.030042,0.000000,0.000000,0.030042
2025-03-20,Preventa,preventa-406613,594282942700,Compute Engine,0.000007,0.000000,0.000000,0.000007
2025-03-20,Snowflake,datos-433017,964471574790,Compute Engine,0.000007,0.000000,0.000000,0.000007
2025-03-20,primus-prj-m2vm-host-001,primus-prj-m2vm-host-001,678410470076,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-03-20,Preventa,preventa-406613,594282942700,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-03-20,gtd-gestion-tickets-poc,gtd-gestion-tickets-poc,604332034635,Networking,0.000979,-0.000979,0.000000,0.000000
2025-03-20,gtd-gestion-tickets-poc,gtd-gestion-tickets-poc,604332034635,Vertex AI Search,0.000000,0.000000,0.000000,0.000000
2025-03-20,gtd-mvp-contracts-genai,gtd-mvp-contracts-genai,723871874985,Vertex AI Search,0.000000,0.000000,0.000000,0.000000
2025-03-20,telconor,telconor,26233976157,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-03-20,gtd-prj-billing-001,gtd-prj-billing-001,487666489813,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-03-20,telconor,telconor,26233976157,cPanel & WHM Web Hosting Panel for Ubuntu - BYOL,0.000000,0.000000,0.000000,0.000000
2025-03-20,gtp-prj-activedirectory-001,gtp-prj-activedirectory-001,221495248342,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-03-20,gtd-prj-prod-shd-net-001,gtd-prj-prod-shd-net-001,275732325331,Compute Engine,0.000000,0.000000,0.000000,0.000000
2025-03-20,gtd-prj-prod-shd-net-001,gtd-prj-prod-shd-net-001,275732325331,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-03-20,gtd-prj-prod-net-uah-001,gtd-prj-prod-net-uah-001,804020278966,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-03-20,Snowflake,datos-433017,964471574790,Networking,0.013350,-0.013350,0.000000,0.000000
2025-03-20,gtd-prj-prod-bastion-sis-001,gtd-prj-prod-bastion-sis-001,926852352669,Networking,0.002670,-0.002670,0.000000,0.000000
2025-03-20,Snowflake,datos-433017,964471574790,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-03-20,gtd-gestion-tickets-poc,gtd-gestion-tickets-poc,604332034635,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-03-20,gtd-prj-net-hub-001,gtd-prj-net-hub-001,477209047095,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-03-20,gtd-prj-prod-gcve-sistemas-001,gtd-prj-prod-gcve-sistemas-001,909532972476,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-03-20,gtd-prj-net-hub-001,gtd-prj-net-hub-001,477209047095,Networking,0.010680,-0.010680,0.000000,0.000000
2025-03-20,telconor,telconor,26233976157,Networking,0.002670,-0.002670,0.000000,0.000000
2025-03-20,gtp-prj-activedirectory-001,gtp-prj-activedirectory-001,221495248342,Compute Engine,0.000000,0.000000,0.000000,0.000000
2025-03-20,gtd-gestion-tickets-poc,gtd-gestion-tickets-poc,604332034635,Deep Learning VM,0.000000,0.000000,0.000000,0.000000
2025-03-20,gtd-prj-prod-net-uah-001,gtd-prj-prod-net-uah-001,804020278966,Compute Engine,0.000000,0.000000,0.000000,0.000000
2025-03-19,gtd-prj-prod-gcve-sistemas-001,gtd-prj-prod-gcve-sistemas-001,909532972476,VMware Engine,1950.039328,0.000000,0.000000,1950.039328
2025-03-19,,,,Support,287.635517,0.000000,0.000000,287.635517
2025-03-19,gtd-private-interconnect,gtd-private-interconnect,549706777962,Compute Engine,162.555920,0.000000,0.000000,162.555920
2025-03-19,gtd-prj-net-hub-001,gtd-prj-net-hub-001,477209047095,Compute Engine,144.130212,0.000000,0.000000,144.130212
2025-03-19,gtd-prj-prod-gcve-sistemas-001,gtd-prj-prod-gcve-sistemas-001,909532972476,Compute Engine,19.492239,0.000000,0.000000,19.492239
2025-03-19,Snowflake,datos-433017,964471574790,Cloud Composer,15.811725,0.000000,0.000000,15.811725
2025-03-19,gtp-prj-activedirectory-001,gtp-prj-activedirectory-001,221495248342,Managed Service for Microsoft Active Directory,15.691322,0.000000,0.000000,15.691322
2025-03-19,gtd-prj-backup-001,gtd-prj-backup-001,18927912085,Cloud Storage,12.339351,0.000000,0.000000,12.339351
