fecha,project_name,project_id,project_number,servicio,costo,descuentos,promociones_y_otros,subtotal
2025-03-23,gtd-prj-prod-gcve-sistemas-001,gtd-prj-prod-gcve-sistemas-001,909532972476,VMware Engine,1287.333089,0.000000,0.000000,1287.333089
2025-03-23,,,,Support,176.291130,0.000000,0.000000,176.291130
2025-03-23,gtd-private-interconnect,gtd-private-interconnect,549706777962,Compute Engine,112.123090,0.000000,0.000000,112.123090
2025-03-23,gtd-prj-net-hub-001,gtd-prj-net-hub-001,477209047095,Compute Engine,80.520193,0.000000,0.000000,80.520193
2025-03-23,gtd-prj-prod-gcve-sistemas-001,gtd-prj-prod-gcve-sistemas-001,909532972476,Compute Engine,13.790571,0.000000,0.000000,13.790571
2025-03-23,gtd-prj-backup-001,gtd-prj-backup-001,18927912085,Cloud Storage,11.327056,0.000000,0.000000,11.327056
2025-03-23,gtp-prj-activedirectory-001,gtp-prj-activedirectory-001,221495248342,Managed Service for Microsoft Active Directory,10.823104,0.000000,0.000000,10.823104
2025-03-23,Snowflake,datos-433017,964471574790,Cloud Composer,10.657962,0.000000,0.000000,10.657962
2025-03-23,gtd-prj-net-hub-001,gtd-prj-net-hub-001,477209047095,Networking,7.642447,-0.170880,0.000000,7.471567
2025-03-23,gtd-prj-backup-veeam-001,gtd-prj-backup-veeam-001,556560816349,Cloud Storage,6.458980,0.000000,0.000000,6.458980
2025-03-23,gtd-prj-prod-gcve-sistemas-001,gtd-prj-prod-gcve-sistemas-001,909532972476,Cloud SQL,3.505138,0.000000,0.000000,3.505138
2025-03-23,gtd-prj-prod-bastion-sis-001,gtd-prj-prod-bastion-sis-001,926852352669,Compute Engine,3.386191,0.000000,0.000000,3.386191
2025-03-23,gtd-gestion-tickets-poc,gtd-gestion-tickets-poc,604332034635,Vertex AI,2.858761,0.000000,0.000000,2.858761
2025-03-23,gtd-mvp-contracts-genai,gtd-mvp-contracts-genai,723871874985,Vertex AI,2.041860,0.000000,0.000000,2.041860
2025-03-23,gtd-prj-prod-shd-net-001,gtd-prj-prod-shd-net-001,275732325331,Networking,1.883736,0.000000,0.000000,1.883736
2025-03-23,gtd-prj-prod-gcve-sistemas-001,gtd-prj-prod-gcve-sistemas-001,909532972476,Networking,1.824791,-0.018690,0.000000,1.806101
2025-03-23,gtd-prj-prod-net-uah-001,gtd-prj-prod-net-uah-001,804020278966,Networking,1.806099,0.000000,0.000000,1.806099
2025-03-23,gtp-prj-activedirectory-001,gtp-prj-activedirectory-001,221495248342,Networking,1.806099,0.000000,0.000000,1.806099
2025-03-23,telconor,telconor,26233976157,Compute Engine,1.791431,0.000000,0.000000,1.791431
2025-03-23,gtd-document-gen-ai-mvp,analisis-de-contratos-ia,788241563089,Vertex AI,1.769744,0.000000,0.000000,1.769744
2025-03-23,gtd-prj-prod-net-uah-001,gtd-prj-prod-net-uah-001,804020278966,Compute Engine,1.390422,0.000000,0.000000,1.390422
2025-03-23,Snowflake,datos-433017,964471574790,Compute Engine,1.270917,0.000000,0.000000,1.270917
2025-03-23,Preventa,preventa-406613,594282942700,Networking,0.903048,0.000000,0.000000,0.903048
2025-03-23,Snowflake,datos-433017,964471574790,Networking,1.237049,-0.334001,0.000000,0.903048
2025-03-23,Snowflake,datos-433017,964471574790,Cloud Monitoring,0.758933,0.000000,0.000000,0.758933
2025-03-23,gtd-prj-suralis,gtd-prj-suralis,101376950122,Compute Engine,0.180605,0.000000,0.000000,0.180605
2025-03-23,Snowflake,datos-433017,964471574790,BigQuery,0.094104,0.000000,0.000000,0.094104
2025-03-23,gtd-prj-suralis,gtd-prj-suralis,101376950122,Cloud Storage,0.049785,0.000000,0.000000,0.049785
2025-03-23,gtd-prj-net-hub-001,gtd-prj-net-hub-001,477209047095,Backup and DR Service,0.036243,0.000000,0.000000,0.036243
2025-03-23,Snowflake,datos-433017,964471574790,Cloud Storage,0.016415,0.000000,0.000000,0.016415
2025-03-23,Preventa,preventa-406613,594282942700,Cloud Key Management Service (KMS),0.013595,0.000000,0.000000,0.013595
2025-03-23,gtd-prj-net-hub-001,gtd-prj-net-hub-001,477209047095,Cloud DNS,0.010770,0.000000,0.000000,0.010770
2025-03-23,Preventa,preventa-406613,594282942700,Cloud DNS,0.007185,0.000000,0.000000,0.007185
2025-03-23,Snowflake,datos-433017,964471574790,Artifact Registry,0.006987,0.000000,0.000000,0.006987
2025-03-23,gtd-prj-prod-net-uah-001,gtd-prj-prod-net-uah-001,804020278966,Cloud Storage,0.004396,0.000000,0.000000,0.004396
