Day,Project Name,Project ID,Project Number,Servicio,Costo,Descuentos,Promociones y otros,Subtotal
2025-02-28,gtd-prj-prod-gcve-sistemas-001,gtd-prj-prod-gcve-sistemas-001,909532972476,VMware Engine,2056.776789,-115.905873,0.000000,1940.870916
2025-02-28,gtd-prj-backup-veeam-001,gtd-prj-backup-veeam-001,556560816349,Cloud Storage,1512.155248,0.000000,0.000000,1512.155248
2025-02-28,gtd-prj-prod-gcve-uah-001,gtd-prj-prod-gcve-uah-001,206659077032,VMware Engine,822.710693,-46.362341,0.000000,776.348352
2025-02-28,gtd-prj-prod-iaas-comp-001,gtd-prj-prod-iaas-comp-001,1030040975157,VMware Engine,617.032990,-34.771786,0.000000,582.261204
2025-02-28,,,,Support,410.727657,-3.570000,0.000000,407.157657
2025-02-28,gtd-prj-backup-001,gtd-prj-backup-001,18927912085,Cloud Storage,314.384222,0.000000,0.000000,314.384222
2025-02-28,gtd-private-interconnect,gtd-private-interconnect,549706777962,Compute Engine,198.904294,0.000000,0.000000,198.904294
2025-02-28,gtd-prj-net-hub-001,gtd-prj-net-hub-001,477209047095,Compute Engine,134.784977,0.000000,0.000000,134.784977
2025-02-28,gtd-prj-suralis,gtd-prj-suralis,101376950122,Cloud Storage,76.626310,0.000000,0.000000,76.626310
2025-02-28,gtd-prj-prod-net-uah-001,gtd-prj-prod-net-uah-001,804020278966,Cloud Storage,59.193972,0.000000,0.000000,59.193972
2025-02-28,gtd-prj-prod-gcve-sistemas-001,gtd-prj-prod-gcve-sistemas-001,909532972476,Compute Engine,29.042427,0.000000,0.000000,29.042427
2025-02-28,gtd-document-gen-ai-mvp,analisis-de-contratos-ia,788241563089,Vertex AI,27.183329,0.000000,0.000000,27.183329
2025-02-28,primus-prj-prod-002,primus-prj-prod-002,871471108650,Compute Engine,20.804055,0.000000,0.000000,20.804055
2025-02-28,primus-prj-prod-001,primus-prj-prod-001-442914,554598453048,Compute Engine,19.338149,0.000000,0.000000,19.338149
2025-02-28,gtp-prj-activedirectory-001,gtp-prj-activedirectory-001,221495248342,Managed Service for Microsoft Active Directory,19.199981,0.000000,0.000000,19.199981
2025-02-28,gtd-prj-codelpa,gtd-prj-codelpa,512988914564,Cloud Storage,17.272547,0.000000,0.000000,17.272547
2025-02-28,Snowflake,datos-433017,964471574790,Cloud Composer,16.951247,0.000000,0.000000,16.951247
2025-02-28,gtd-prj-prod-net-uah-001,gtd-prj-prod-net-uah-001,804020278966,Compute Engine,14.698013,0.000000,0.000000,14.698013
2025-02-28,gtd-prj-net-hub-001,gtd-prj-net-hub-001,477209047095,Networking,13.285881,-0.256320,0.000000,13.029561
2025-02-28,gtd-prj-prod-bastion-sis-001,gtd-prj-prod-bastion-sis-001,926852352669,Compute Engine,10.024406,0.000000,0.000000,10.024406
2025-02-28,poc-cdn-gtd,poc-cdn-gtd,314090045903,Compute Engine,9.287833,0.000000,0.000000,9.287833
2025-02-28,gtd-prj-prod-gcve-sistemas-001,gtd-prj-prod-gcve-sistemas-001,909532972476,Cloud SQL,7.785633,0.000000,0.000000,7.785633
2025-02-28,gtd-mvp-contracts-genai,gtd-mvp-contracts-genai,723871874985,Vertex AI,4.921537,0.000000,0.000000,4.921537
2025-02-28,gtd-prj-prod-net-uah-001,gtd-prj-prod-net-uah-001,804020278966,Networking,3.571981,-0.192240,0.000000,3.379741
2025-02-28,telconor,telconor,26233976157,Compute Engine,3.374020,0.000000,0.000000,3.374020
2025-02-28,gtd-prj-prod-shd-net-001,gtd-prj-prod-shd-net-001,275732325331,Networking,3.371421,0.000000,0.000000,3.371421
2025-02-28,primus-prj-net-hub-001,primus-prj-net-hub-001,361970450318,Networking,3.231279,0.000000,0.000000,3.231279
2025-02-28,gtd-prj-prod-gcve-sistemas-001,gtd-prj-prod-gcve-sistemas-001,909532972476,Networking,3.211991,-0.008010,0.000000,3.203981
2025-02-28,gtp-prj-activedirectory-001,gtp-prj-activedirectory-001,221495248342,Networking,3.203978,0.000000,0.000000,3.203978
2025-02-28,gtd-gestion-tickets-poc,gtd-gestion-tickets-poc,604332034635,Vertex AI,2.403232,0.000000,0.000000,2.403232
2025-02-28,Snowflake,datos-433017,964471574790,Compute Engine,2.343515,0.000000,0.000000,2.343515
2025-02-28,Preventa,preventa-406613,594282942700,Compute Engine,1.800418,0.000000,0.000000,1.800418
2025-02-28,Snowflake,datos-433017,964471574790,Networking,2.135968,-0.533984,0.000000,1.601984
2025-02-28,Preventa,preventa-406613,594282942700,Networking,1.601984,0.000000,0.000000,1.601984
2025-02-28,Snowflake,datos-433017,964471574790,Cloud Monitoring,1.080948,0.000000,0.000000,1.080948
2025-02-28,Contact Center,contact-center-430619,38687230605,Cloud Contact Center AI Platform,1.000000,0.000000,0.000000,1.000000
2025-02-28,Preventa,preventa-406613,594282942700,Cloud Storage,0.920011,0.000000,0.000000,0.920011
2025-02-28,Snowflake,datos-433017,964471574790,Cloud Logging,0.819235,0.000000,0.000000,0.819235
2025-02-28,gtd-mvp-contracts-genai,gtd-mvp-contracts-genai,723871874985,BigQuery Reservation API,0.763228,0.000000,0.000000,0.763228
2025-02-28,poc-cdn-gtd,poc-cdn-gtd,314090045903,Networking,0.598125,-0.064080,0.000000,0.534045
2025-02-28,primus-prj-backup-001,primus-prj-backup-001,99535561616,Compute Engine,0.521252,0.000000,0.000000,0.521252
2025-02-28,gtd-prj-suralis,gtd-prj-suralis,101376950122,Compute Engine,0.320384,0.000000,0.000000,0.320384
2025-02-28,primus-prj-net-hub-001,primus-prj-net-hub-001,361970450318,Compute Engine,0.249606,0.000000,0.000000,0.249606
2025-02-28,Snowflake,datos-433017,964471574790,BigQuery,0.208103,0.000000,0.000000,0.208103
2025-02-28,gtd-mvp-contracts-genai,gtd-mvp-contracts-genai,723871874985,BigQuery,0.200278,0.000000,0.000000,0.200278
2025-02-28,Snowflake,datos-433017,964471574790,Cloud Storage,0.199608,0.000000,0.000000,0.199608
2025-02-28,gtd-prj-prod-bastion-clientes,gtd-prj-prod-bastion-clientes,905451030397,Compute Engine,0.173270,0.000000,0.000000,0.173270
2025-02-28,gtd-prj-net-hub-001,gtd-prj-net-hub-001,477209047095,Cloud Storage,0.096962,0.000000,0.000000,0.096962
2025-02-28,gtd-prj-prod-bastion-sis-001,gtd-prj-prod-bastion-sis-001,926852352669,Cloud Storage,0.057626,0.000000,0.000000,0.057626
2025-02-28,Preventa,preventa-406613,594282942700,Cloud Key Management Service (KMS),0.026683,0.000000,0.000000,0.026683
2025-02-28,gtd-document-gen-ai-mvp,analisis-de-contratos-ia,788241563089,Cloud Storage,0.014189,0.000000,0.000000,0.014189
2025-02-28,gtd-prj-net-hub-001,gtd-prj-net-hub-001,477209047095,Cloud DNS,0.014008,0.000000,0.000000,0.014008
2025-02-28,Snowflake,datos-433017,964471574790,Artifact Registry,0.013701,0.000000,0.000000,0.013701
2025-02-28,Snowflake,datos-433017,964471574790,Secret Manager,0.013321,0.000000,0.000000,0.013321
2025-02-28,gtd-prj-qa-shd-net-001,gtd-prj-qa-shd-net-001,30816487339,Cloud DNS,0.012696,0.000000,0.000000,0.012696
2025-02-28,Preventa,preventa-406613,594282942700,Cloud DNS,0.012696,0.000000,0.000000,0.012696
2025-02-28,primus-prj-prod-001,primus-prj-prod-001-442914,554598453048,Cloud Storage,0.008704,0.000000,0.000000,0.008704
2025-02-28,primus-prj-net-hub-001,primus-prj-net-hub-001,361970450318,Cloud DNS,0.006336,0.000000,0.000000,0.006336
2025-02-28,gtd-prj-prod-obs-vzor,gtd-prj-prod-obs-vzor,594063404612,Cloud DNS,0.006336,0.000000,0.000000,0.006336
2025-02-28,gtd-prj-billing-001,gtd-prj-billing-001,487666489813,BigQuery,0.003914,0.000000,0.000000,0.003914
2025-02-28,primus-prj-backup-001,primus-prj-backup-001,99535561616,Cloud Key Management Service (KMS),0.003787,0.000000,0.000000,0.003787
2025-02-28,gtd-gestion-tickets-poc,gtd-gestion-tickets-poc,604332034635,Artifact Registry,0.001385,0.000000,0.000000,0.001385
2025-02-28,primus-prj-backup-001,primus-prj-backup-001,99535561616,Cloud Storage,0.000142,0.000000,0.000000,0.000142
2025-02-28,Snowflake,datos-433017,964471574790,Dataplex,0.000040,0.000000,0.000000,0.000040
2025-02-28,Demo IAGen - Cisco Mining,sincere-muse-439619-f5,11676406949,Cloud Storage,0.000004,0.000000,0.000000,0.000004
2025-02-28,primus-prj-prod-001,primus-prj-prod-001-442914,554598453048,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-02-28,primus-prj-backup-001,primus-prj-backup-001,99535561616,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-02-28,gtd-prj-prod-bastion-sis-001,gtd-prj-prod-bastion-sis-001,926852352669,Networking,0.122820,-0.122820,0.000000,0.000000
2025-02-28,gtd-mvp-contracts-genai,gtd-mvp-contracts-genai,723871874985,Networking,0.085440,-0.085440,0.000000,0.000000
2025-02-28,gtd-mvp-contracts-genai,gtd-mvp-contracts-genai,723871874985,Compute Engine,0.000000,0.000000,0.000000,0.000000
2025-02-28,gtd-prj-prod-gcve-sistemas-001,gtd-prj-prod-gcve-sistemas-001,909532972476,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-02-28,primus-prj-net-hub-001,primus-prj-net-hub-001,361970450318,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-02-28,,,,VMware Engine,0.000000,0.000000,0.000000,0.000000
2025-02-28,gtd-gestion-tickets-poc,gtd-gestion-tickets-poc,604332034635,Networking,0.010680,-0.010680,0.000000,0.000000
2025-02-28,gtd-prj-prod-bastion-sis-001,gtd-prj-prod-bastion-sis-001,926852352669,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-02-28,gtd-prj-billing-001,gtd-prj-billing-001,487666489813,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-02-28,telconor,telconor,26233976157,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-02-28,primus-prj-m2vm-host-001,primus-prj-m2vm-host-001,678410470076,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-02-28,telconor,telconor,26233976157,Networking,0.064080,-0.064080,0.000000,0.000000
2025-02-28,gtd-gestion-tickets-poc,gtd-gestion-tickets-poc,604332034635,Deep Learning VM,0.000000,0.000000,0.000000,0.000000
2025-02-28,primus-prj-prod-002,primus-prj-prod-002,871471108650,Cloud Logging,0.000000,0.000000,0.000000,0.000000
2025-02-28,gtd-prj-net-hub-001,gtd-prj-net-hub-001,477209047095,Cloud Logging,0.000000,0.000000,0.000000,0.000000
